x,y
"television actor PERSON PERSON , well know play PERSON popular LANGUAGE WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART , DATE arrest GPE police connection rape case fir register GPE police station GPE LAW LAW LAW LAW ) CARDINAL ( extortion ) LAW LAW LAW",2
"ORG ORG hold PERCENT PERCENT stake , PERSON PERSON family hold PERCENT cent share ORG ORG . "" aggregate consideration purchase share promoter entity estimate MONEY MONEY MONEY MONEY , "" ORG ORG add .",3
"time , newly mint ORG ORG ORG ORG ORG alliance fray . ORG , win GPE , GPE GPE constituency GPE region DATE ORG ORG election vote share PERCENT PERCENT , aim dent LOC , eye GPE vote DATE DATE expert say turnout high simultaneous assembly parliamentary poll conduct . union home ministry propose assembly poll hold state DATE DATE , ORG ORG weigh matter . GPE GPE government ORG - bjp coalition collapse DATE DATE , follow state place governor � s rule . DATE DATE , president � s rule impose state , extend till DATE . � state election matter people . conduct ORG ORG poll , turnout well . election national level huge implication people south LOC , have local government inspire confidence people , "" PERSON add .",0
tech giant stop mention PRODUCT website DATE DATE launch late iphone model .,1
"GPE � s DATE manufacturing purchasing manager index rise CARDINAL CARDINAL , big increase DATE beat economist � estimate datum release DATE . investor await ORG ORG ORG DATE DATE DATE monetary policy review DATE DATE . analyst expect ORG cut key lending rate PERCENT PERCENT PERCENT PERCENT PERCENT PERCENT PERCENT PERCENT PERCENT PERCENT PERCENT PERCENT",3
"give current climate state , average voter risk getting catch stone - pelting come vote ? voter turnout impact chance , give party complete term office ? happen � fact cluster policing happen polling station security . polling station set distance village police personnel guard . , villager walk QUANTITY polling station . average voter GPE GPE need motivation come vote . like � make difficult � encourage vote .",0
"state stagger poll GPE , GPE GPE GPE GPE CARDINAL phase polling ORG announce CARDINAL phase national poll DATE TIME state assembly election GPE GPE : ORG ORG ORG ORG � s decision stagger poll phase big state upcoming ORG ORG election controversial opposition party include ORG ORG ( ORG ) raise concern . expert feel exhaustive schedule state impact level playing ground election .",0
"� fight bad guy ORG movie , like fight ORG ? � think kind industry right � report rife WORK_OF_ART WORK_OF_ART WORK_OF_ART closure character like PERSON PERSON captain america , speculate captain marvel lead phase ORG PERSON feel pressure? � feel pressure ? feel like pressure sort unnecessary thing",2
"WORK_OF_ART WORK_OF_ART DATE award give scientist , researcher , engineer social scientist ORG ORG ORG ( ORG ) rank high monetary award GPE recognise research . eminent professor award WORK_OF_ART WORK_OF_ART DATE different category science research . DATE award include pure gold medal , citation , prize purse worth $ MONEY ( equivalent NORP rupee ) . PERSON PERSON prizeaiartificial intelligenceinfosys science foundationinternet thingsiotmachine learningml",1
"tech giant rebrande � PRODUCT � � google pay � effort digital payment app online retail merchant country . � build GPE help ORG build world ... partnership ORG example CARDINAL people access internet CARDINAL railway station GPE , "" ORG general manager ( billion users initiative payments ) PERSON PERSON say . ORG , � google station � , provide wi - fi service public location partnership entity . � GPE , take ORG ORG country like GPE , GPE , GPE GPE , "" PERSON say . previously , � partner ORG . expect start roll service DATE DATE city like GPE GPE , connect gram panchayat , primary health care centre public place , "" say .",1
"CARDINAL ) ORG ORG blockbuster debut DATE bourse , share list PERCENT PERCENT premium . share ORG ORG ORG list stock exchange ? MONEY , PERCENT PERCENT issue price ? MONEY share DATE . ipo get massive response , subscription CARDINAL time . CARDINAL ) , ORG share extend gain DATE DATE investor bet airline able increase capacity amid ORG ORG financial woe . ORG share rise PERCENT PERCENT DATE . ORG ORG share fall PERCENT PERCENT report , cite source , say management airline propose suspend operation debt - lade airline board meeting DATE . CARDINAL ) "" NORP market dream run DATE dovish accommodative global central bank unprecedented foreign flow . sentiment get fillip ORG ORG forecast near normal south - west monsoon , "" say PERSON PERSON , head equity advisory ORG ORG ORG .",3
"� thank hon . hm sh . PERSON PERSON unprecedented release advance MONEY MONEY MONEY include MONEY MONEY MONEY GPE financial assistance enable preventive measure enhance preparedness response EVENT EVENT , "" PERSON tweet .",0
"GPE : NORP rupee � s eye - water rally come end soon later , DATE � s PERCENT PERCENT drop somewhat anomalous event emerge market , peer continue benefit dollar � s ORG ORG ORG weakness . , central bank signal lately � s entirely happy rupee � s strength . ORDINAL , oil head $ MONEY barrel . , � s unlikely recent surge flow NORP bond sustain give country � s limit foreign holding . , like technical indicator , rupee � s DATE DATE DATE relative strength index signal pullback DATE DATE .",3
"recently , PERSON announce directorial debut WORK_OF_ART , 3 - d film NORP backdrop",2
"PERSON PERSON , ORG executive , say label helpful indicator people 5 g phone . 5ge icon phone screen inform speed fast current 4 g network , 5 g indicator mean get fast speed possible , say . unclear cost people buy 5 g access � tremendous speed encourage consumer burn cellular datum fast slow technology . carrier announce pricing datum plan 5g. phone costly , case exceed $ MONEY . expect price continue climb ? ORG announce pricing PRODUCT PRODUCT PRODUCT g , device expect $ MONEY , 5 g compatibility depth - sense camera lens . ORG � s phone incremental change , price . price start $ MONEY PRODUCT PRODUCT , $ MONEY PRODUCT $ MONEY PRODUCT PRODUCT . compare PRODUCT s9 plus , start $ MONEY $ MONEY . PERSON PERSON , analyst ORG ORG , say doubtful price near - term . $ MONEY PRODUCT PRODUCT , despite rave review sell robustly anticipate , demonstrate consumer hit threshold . � � get point people , know , technology � want different phone , don � t want , "" say .",1
"stock market welcome news , NORP market follow NORP counterpart higher . NORP NORP NORP stoxx 600 index PERCENT PERCENT . msci country world index , track share CARDINAL country , PERCENT PERCENT DATE . "" key question : tariff remove instantly , gradually dial ? "" write PERSON PERSON , research analyst ORG . "" renew risk appetite see boost NORP stock , investor consider upside leave , give market actively price possible resolution trade saga . "" LOC , NORP share big gainer , blue - chip index PERCENT PERCENT . csi300 index rally DATE index provider ORG quadruple weighting mainland share global benchmark . leave ORG broad index LOC LOC LOC LOC outside GPE gain PERCENT PERCENT . index rise PERCENT PERCENT far DATE . DATE expect DATE DATE global market . GPE parliament vote agreement leave ORG ORG , ORG ORG hold policy meeting yield clue plan interest rate balance sheet reduction , ORG ORG ORG hold schedule policy meeting DATE .",3
"underline lack excess supply , ORG cite rapidly clear NORP NORP crude market structure brent crude future , DATE DATE contract trade near price DATE DATE . ORG ally cut output , GPE GPE expand supply . nonetheless , figure DATE show drop number GPE oil rig low DATE , lend price support . "" point pronounced rise GPE oil production , "" say PERSON PERSON , analyst ORG . "" oil market balanced , "" add , cite drop ORG output level close forecast demand group crude .",3
"NORP smartphone maker ORG ORG announce partnership DATE . collaboration brand unfold GPE DATE DATE DATE GPE . partnership incorporate ORG ORG ORG ORG , successful team ORG ORG history . collaboration , ORG ORG look unlock new long - term technology partnership bring legacy brand � speed , craftsmanship innovation . comment partnership , ORG ceo & founder , PERSON PERSON say , � ORG ORG bear similar way - big dream create special . start , challenge settle . DATE unveil true testament innovation , salute speed . """,1
"company price new PRODUCT PRODUCT , release DATE , $ MONEY , price GPE dollar predecessor , DATE PRODUCT PRODUCT work GPE consumer , country GPE GPE local currency fall surge GPE dollar , phone significantly pricy predecessor DATE . ORG essentially ask consumer bear cost strengthen dollar . DATE , PERSON say ORG adjust foreign price market reset close DATE local currency . effectively mean ORG absorb cost strengthen dollar .",1
"end , television price ? MONEY , short premium PRODUCT - hd brand sell considerably expensive value brand . , easily argue pricing high expect compromise tv . don � t wrong , television bring good picture quality table . use micro - dim technology , CARDINAL dimming zone , accord ORG . micro - dim technology similar local dimming , say increase contrast well .",1
"PRODUCT PRODUCT big QUANTITY QUANTITY QUANTITY screen , weigh time ORG notebook . PRODUCT PRODUCT m screen resolution 1,920x1,080p , refresh rate 144hz support ORG eye track technology , allow gamer control player action game like WORK_OF_ART WORK_OF_ART WORK_OF_ART eye head movement .",1
"diner scene ( � WORK_OF_ART � ) , like , ok , smash right scene lab , gene - splicing?mcfeely : oh , write scene lab � q : ant - man didn � t participate infinity war , see snap affect tag WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART decide pay PERSON : late 2015 , � write ORDINAL movie ( infinity war ) ORDINAL movie tone weird , right ? � s light , fun movie kill everybody tag story tell PERSON movie different anybody � s ? leave family fight ? yeah , � WORK_OF_ART WORK_OF_ART PERSON : time contemplate have archery scene movie , snap snap , pop PERSON � s farm � watch ? � � s indication wide effect q : � d see successful WORK_OF_ART WORK_OF_ART captain marvel , try find opportunity character films?mcfeely : wasn � t lot time adjust PERSON : � test ( � WORK_OF_ART WORK_OF_ART � open ) , PERSON go , � know , � cut GPE , audience go , � oh , � s interesting � test movie come , ( make drumming noise ) people freak � s story � try tell � � s original ORG deal loss come conclusion � s new , fresh blood q : ORG character want movie couldn � t have?markus : try WORK_OF_ART WORK_OF_ART movie indicate different level architecture universe think throw inspire tv series device?markus : buy end movie way want real long time � movie time chronological time character couldn � t end PERSON , PERSON PERSON way know � ve time take brink idea time - travel story line come from?mcfeely : PERSON ( PERSON ) point say , like use WORK_OF_ART WORK_OF_ART , use time element let spend DATE see � s kooky thing time break movie PERSON : sit go , ? � go time travel ? look available , character - wise , people � s theory quantum realm , time thing ORG , right , available , character haven � t q : � s crucial film formulation time travel , change past don � t alter present",2
"ORG � s state president party � s candidate GPE constituency , PERSON PERSON . ( photo : PERSON PERSON / ORG ) - point programme ORG protect democracy democracy GPE GPE state government unpopular , rule party try distract people show GPE",0
"PERSON , DATE , executive produce alongside PERSON PERSON , PERSON PERSON PERSON PERSON",2
", lower good service tax - construction project � expectation meet budget � help bring property price . measure necessarily link central budget . positive news leg realty firm � profit , drive demand consumer confidence real estate sector . , equity investor sector continue shaky foundation .",3
"DATE , actor PERSON PERSON take twitter share excitement upcoming film , see share screen space PERSON aka PERSON time say � super excited excited share screen space charming super talented # str bro �",2
"NORP currency trade low . GPE renminbi PERCENT PERCENT , NORP rupiah PERCENT PERCENT , NORP NORP won PERCENT PERCENT , GPE dollar PERCENT PERCENT , thai baht PERCENT PERCENT . , NORP ringgit PERCENT PERCENT , NORP yen GPE peso PERCENT PERCENT .",3
"ORG : copper face disruption DATE DATE , labour strife , extreme weather unexpected project delay knock QUANTITY QUANTITY DATE production , NORP miner ORG chief executive say . ORG ORG ORG : NORP - base global commodity trader ORG set control NORP metal producer ORG agree financial restructuring creditor . china economy : GPE DATE DATE economy growth likely cool weak pace DATE DATE , ORG poll show , flurry measure boost domestic demand floor slow activity DATE .",3
"� tweet , write , � # WORK_OF_ART cross ? ? ? cr * 2 day * � # baahubali2 [ # hindi ] cross ? ? ? * 3 day * biggie * hindi * film industry � # WORK_OF_ART set high opening weekend � boxoffice ? ? ? ? ? ? post twitter , � unimaginable craze # WORK_OF_ART go prove , , moviegoer willing dig wallet / purse shell exorbitant money ticket * * film worth � charm watch film big screen fade � continue , � WORK_OF_ART WORK_OF_ART WORK_OF_ART myth massive screen count key collect big number DATE DATE DATE DATE � WORK_OF_ART WORK_OF_ART release CARDINAL screen , occupancy , high * NORP * biggie open CARDINAL + screen",2
"ORG - shiv sena GPE battle perception � alliance convenience � year round , ORG criticize ORG government ? alliance convenience . politics game compulsion , limitation contradiction . alliance happen convenience political party . criticism ORG ORG leadership thing past . matter sub judice ORG ORG correct comment issue ORG ORG . let hope effort ORG ORG solve GPE dispute succeed . union government carry major surgical strike GPE , recent GPE . kind impact air strike election ? opinion politicization issue relate national security country . opposition party criticize act take credit . issue relate national interest national security , rise politic . issue reason political debate . PERSON PERSON regional giant recently announce contest time . ? think PERSON PERSON realise difficult win election time ; decide contest ORG ORG poll .",0
"grand old party decide boycott ORG election ( seat vacancy ) hold DATE , clear way easy win ORG ( win seat ) unofficial ally , ORG ORG ORG ORG ORG ORG ORG win . ORG leader claim mla seek join party DATE DATE . ORG functionary , want name , say ORG mla willing defect , confirm . ORG early nominate ORG ORG ORG ORG ( ORG ) treasurer PERSON PERSON PERSON contest ORG seat , decide contest � brazen violation constitution democratic norm "" ORG president PERSON PERSON PERSON PERSON say DATE DATE . development ORG foot , especially poor performance state DATE assembly election , ORG sweep win CARDINAL seat ( total CARDINAL ) , ORG alliance ORG ORG ORG ( ORG ) , ORG ORG india ORG ORG ORG ORG ORG ) win CARDINAL seat ( ORG win CARDINAL ) .",0
"ORG contend carry attack easy require access network traffic analysis , ORG ORG researcher point trick user connect rogue router access point possible hacker . analyse choice CARDINAL viewer , researcher able determine decision correctly PERCENT PERCENT time , report say .",1
"DATE DATE , PERSON recommend PERSON PERSON , equally bright filmmaker GPE , send newly start ORG GPE vice - principal PERSON brilliant film , � bar � fare badly box office film producer GPE willing fund film PERSON spend year ORG , inspire batch institute PERSON , GPE get mentor � new wave � film PERSON PERSON PERSON PERSON , prime proponent NORP parallel cinema remain PERSON � s lifelong fan � strange PERSON PERSON acknowledge tribute PERSON PERSON , teach ORG , � PERSON write book WORK_OF_ART WORK_OF_ART WORK_OF_ART ( DATE ) , � PERSON trait imbibe lack humour � PERSON PERSON PERSON PERSON remain lifelong admirer PERSON PERSON , remain ORG president rest life PERSON PERSON senior media professional , film society activist author GPE � s WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART , publish ORG DATE",2
"demand statehood key party campaign . ORG run ground campaign issue . PERSON announce indefinite fast , call later . "" internal survey people GPE elect ORG leader statehood GPE . people excited get statehood GPE , "" PERSON say .",0
"prime minister PERSON PERSON GPE chief minister PERSON PERSON ( right ) GPE DATE . ( photo : ORG ) GPE key ORG - nda � s plan return power DATE general election state CARDINAL ORG ORG seat prime minister PERSON PERSON DATE assure rule ORG ORG ORG ( ORG ) government secure life financially socially weak section , protect country act terrorism .",0
actor say daughter currently prepare board exam media space,2
"court issue notice ORG ORG ORG seek stand issue raise plea PERSON PERSON , contend ORG figure ORG list authorise ' payment system operator ' release central bank DATE DATE DATE DATE .",1
"initial investigation , ORG engineer determine remove layer film � hadn � t anticipate user � damage product , people familiar matter say . designer preoccupy perfect - call crease device fold , say . � reviewer share vast potential , show device need improvement ensure well possible user experience , "" ORG say statement . � fully evaluate feedback run internal test , decide delay release PRODUCT PRODUCT . plan announce release date DATE DATE . "" give small production scale PRODUCT , phone � s problem won � t financial impact incendiary PRODUCT 7 . ORG forecast produce CARDINAL CARDINAL unit DATE , fraction CARDINAL CARDINAL smartphone ship DATE . company � s share end little changed GPE DATE , DATE DATE announcement . raise question internal process � s repeat mistake DATE DATE . � disappointing ORG isn � t completely ready PRODUCT PRODUCT launch DATE planning , think decision delay show company learn note 7 debacle , "" PERSON PERSON , analyst ORG ORG , say email DATE .",1
"DATE DATE DATE DATE DATE actor join PERSON PERSON , PERSON PERSON PERSON , PERSON PERSON project , adaptation PERSON PERSON PERSON s book , accord ORG",2
